"omsi1indian","omsi1western","gender","age","participant","Expertise","Interval","tensionrating","Group","musicianship","musicianshipW","musicianshipI","ExpertiseN"
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"m2",6,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"M2",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"M2",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"M2",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"M2",6,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"M2",6,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"M2",6,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"M2",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"M2",4,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"M2",7,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"M2",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"M2",6,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"M2",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"M2",6,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"M2",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"M2",4,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"M2",7,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"M2",3,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"M2",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"M2",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"M2",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"m3",5,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"m3",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"m3",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"m3",2,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"m3",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"m3",4,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"m3",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"m3",2,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"m3",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"m3",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"m3",1,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"m3",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"m3",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"m3",5,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"m3",3,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"m3",5,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"m3",4,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"m3",4,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"m3",1,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"m3",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"M3",5,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"M3",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"M3",3,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"M3",3,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"M3",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"M3",2,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"M3",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"M3",3,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"M3",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"M3",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"M3",1,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"M3",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"M3",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"M3",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"M3",1,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"M3",4,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"M3",2,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"M3",7,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"M3",1,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"M3",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"A4",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"A4",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"A4",6,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"A4",6,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"A4",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"A4",6,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"A4",7,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"A4",7,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"A4",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"A4",4,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"A4",7,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"A4",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"A4",5,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"A4",6,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"A4",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"A4",6,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"A4",4,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"A4",6,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"A4",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"A4",6,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"P4",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"P4",7,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"P4",3,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"P4",2,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"P4",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"P4",2,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"P4",6,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"P4",2,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"P4",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"P4",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"P4",1,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"P4",4,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"P4",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"P4",4,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"P4",1,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"P4",6,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"P4",3,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"P4",3,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"P4",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"P4",4,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"P5",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"P5",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"P5",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"P5",5,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"P5",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"P5",1,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"P5",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"P5",4,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"P5",7,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"P5",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"P5",2,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"P5",4,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"P5",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"P5",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"P5",1,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"P5",4,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"P5",5,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"P5",7,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"P5",1,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"P5",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"m6",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"m6",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"m6",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"m6",1,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"m6",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"m6",3,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"m6",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"m6",2,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"m6",3,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"m6",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"m6",2,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"m6",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"m6",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"m6",5,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"m6",2,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"m6",3,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"m6",6,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"m6",5,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"m6",1,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"m6",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"M6",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"M6",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"M6",3,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"M6",2,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"M6",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"M6",4,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"M6",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"M6",5,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"M6",4,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"M6",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"M6",2,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"M6",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"M6",2,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"M6",4,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"M6",2,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"M6",3,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"M6",4,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"M6",5,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"M6",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"M6",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"m7",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"m7",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"m7",3,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"m7",5,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"m7",6,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"m7",6,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"m7",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"m7",4,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"m7",6,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"m7",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"m7",5,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"m7",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"m7",7,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"m7",6,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"m7",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"m7",6,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"m7",4,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"m7",4,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"m7",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"m7",5,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"M7",7,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"M7",5,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"M7",4,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"M7",4,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"M7",4,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"M7",7,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"M7",7,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"M7",5,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"M7",7,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"M7",4,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"M7",6,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"M7",5,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"M7",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"M7",4,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"M7",7,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"M7",7,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"M7",5,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"M7",6,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"M7",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"M7",6,"Carnatic","Musician","Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Male",19,"C1",5,"P8",6,"Carnatic","Musician","Musician","Musician",41.6666666666667
"Serious amateur musician","Amateur musician","Female",27,"C2",11,"P8",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Female",17,"C4",12,"P8",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Semi-professional musician","Female",22,"C5",11,"P8",1,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",30,"C8",11,"P8",3,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Music-loving nonmusician","Female",19,"C9",8,"P8",2,"Carnatic","Musician","Non-Musician","Musician",66.6666666666667
"Professional musician","Nonmusician","Male",18,"C12",11,"P8",2,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Semi-professional musician","Amateur musician","Male",24,"C13",9,"P8",4,"Carnatic","Musician","Non-Musician","Musician",75
"Semi-professional musician","Amateur musician","Female",53,"C14",NA,"P8",1,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Music-loving nonmusician","Female",27,"C15",10,"P8",4,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Professional musician","Professional musician","Female",41,"C17",11,"P8",1,"Carnatic","Musician","Musician","Musician",91.6666666666667
"Semi-professional musician","Music-loving nonmusician","Male",26,"C18",NA,"P8",4,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Amateur musician","Male",31,"C19",10,"P8",6,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Semi-professional musician","Amateur musician","Female",22,"C20",10,"P8",3,"Carnatic","Musician","Non-Musician","Musician",83.3333333333333
"Serious amateur musician","Amateur musician","Female",20,"C21",NA,"P8",1,"Carnatic","Musician","Non-Musician","Musician",NA
"Semi-professional musician","Semi-professional musician","Female",26,"C22",12,"P8",4,"Carnatic","Musician","Musician","Musician",100
"Serious amateur musician","Serious amateur musician","Male",28,"C23",10,"P8",3,"Carnatic","Musician","Musician","Musician",83.3333333333333
"Semi-professional musician","Music-loving nonmusician","Male",38,"C24",12,"P8",2,"Carnatic","Musician","Non-Musician","Musician",100
"Semi-professional musician","Nonmusician","Male",31,"C25",11,"P8",1,"Carnatic","Musician","Non-Musician","Musician",91.6666666666667
"Serious amateur musician","Serious amateur musician","Male",24,"C26",12,"P8",4,"Carnatic","Musician","Musician","Musician",100
